,team_1,team_2,score,date,time,staduim,Year
205,Soviet Union,El Salvador,2–0,10-06-1970,16:00,"Estadio Azteca, Mexico City",1970
206,Mexico,Belgium,1–0,11-06-1970,16:00,"Estadio Azteca, Mexico City",1970
207,Uruguay,Israel,2–0,2-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
208,Italy,Sweden,1–0,3-06-1970,16:00,"Estadio Luis Dosal, Toluca",1970
209,Uruguay,Italy,0–0,6-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
210,Sweden,Israel,1–1,7-06-1970,12:00,"Estadio Luis Dosal, Toluca",1970
211,Sweden,Uruguay,1–0,10-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
212,Italy,Israel,0–0,11-06-1970,16:00,"Estadio Luis Dosal, Toluca",1970
213,England,Romania,1–0,2-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
214,Brazil,Czechoslovakia,4–1,3-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
215,Romania,Czechoslovakia,2–1,6-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
216,Brazil,England,1–0,7-06-1970,12:00,"Estadio Jalisco, Guadalajara",1970
217,Brazil,Romania,3–2,10-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
218,England,Czechoslovakia,1–0,11-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
219,Peru,Bulgaria,3–2,2-06-1970,16:00,"Estadio Nou Camp, León",1970
220,West Germany,Morocco,2–1,3-06-1970,16:00,"Estadio Nou Camp, León",1970
221,Peru,Morocco,3–0,6-06-1970,16:00,"Estadio Nou Camp, León",1970
222,West Germany,Bulgaria,5–2,7-06-1970,12:00,"Estadio Nou Camp, León",1970
223,West Germany,Peru,3–1,10-06-1970,16:00,"Estadio Nou Camp, León",1970
224,Bulgaria,Morocco,1–1,11-06-1970,16:00,"Estadio Nou Camp, León",1970
225,Soviet Union,Uruguay,0–1 P,14-06-1970,12:00,"Estadio Azteca, Mexico City",1970
226,Italy,Mexico,4–1,14-06-1970,12:00,"Estadio Luis Dosal, Toluca",1970
227,Brazil,Peru,4–2,14-06-1970,12:00,"Estadio Jalisco, Guadalajara",1970
228,West Germany,England,3–2 P,14-06-1970,12:00,"Estadio Nou Camp, León",1970
229,Uruguay,Brazil,1–3,17-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
230,Italy,West Germany,4–3 P,17-06-1970,16:00,"Estadio Azteca, Mexico City",1970
231,Uruguay,West Germany,0–1,20-06-1970,16:00,"Estadio Azteca, Mexico City",1970
232,Brazil,Italy,4–1,21-06-1970,12:00,"Estadio Azteca, Mexico City",1970
233,West Germany,Chile,1–0,14-06-1974,16:00,"Olympiastadion, West Berlin",1974
234,East Germany,Australia,2–0,14-06-1974,19:30,"Volksparkstadion, Hamburg",1974
235,Australia,West Germany,0–3,18-06-1974,16:00,"Volksparkstadion, Hamburg",1974
236,Chile,East Germany,1–1,18-06-1974,19:30,"Olympiastadion, West Berlin",1974
237,Australia,Chile,0–0,22-06-1974,16:00,"Olympiastadion, West Berlin",1974
238,East Germany,West Germany,1–0,22-06-1974,19:30,"Volksparkstadion, Hamburg",1974
239,Brazil,Yugoslavia,0–0,13-06-1974,17:00,"Waldstadion, Frankfurt",1974
240,Zaire,Scotland,0–2,14-06-1974,19:30,"Westfalenstadion, Dortmund",1974
241,Yugoslavia,Zaire,9–0,18-06-1974,19:30,"Parkstadion, Gelsenkirchen",1974
242,Scotland,Brazil,0–0,18-06-1974,19:30,"Waldstadion, Frankfurt",1974
243,Scotland,Yugoslavia,1–1,22-06-1974,16:00,"Waldstadion, Frankfurt",1974
244,Zaire,Brazil,0–3,22-06-1974,16:00,"Parkstadion, Gelsenkirchen",1974
245,Uruguay,Netherlands,0–2,15-06-1974,16:00,"Niedersachsenstadion, Hanover",1974
246,Sweden,Bulgaria,0–0,15-06-1974,16:00,"Rheinstadion, Düsseldorf",1974
247,Bulgaria,Uruguay,1–1,19-06-1974,19:30,"Niedersachsenstadion, Hanover",1974
248,Netherlands,Sweden,0–0,19-06-1974,19:30,"Westfalenstadion, Dortmund",1974
249,Bulgaria,Netherlands,1–4,23-06-1974,16:00,"Westfalenstadion, Dortmund",1974
250,Sweden,Uruguay,3–0,23-06-1974,16:00,"Rheinstadion, Düsseldorf",1974
251,Italy,Haiti,3–1,15-06-1974,18:00,"Olympiastadion, Munich",1974
252,Poland,Argentina,3–2,15-06-1974,18:00,"Neckarstadion, Stuttgart",1974
253,Argentina,Italy,1–1,19-06-1974,19:30,"Neckarstadion, Stuttgart",1974
254,Haiti,Poland,0–7,19-06-1974,19:30,"Olympiastadion, Munich",1974
255,Argentina,Haiti,4–1,23-06-1974,16:00,"Olympiastadion, Munich",1974
256,Poland,Italy,2–1,23-06-1974,16:00,"Neckarstadion, Stuttgart",1974
257,Netherlands,Argentina,4–0,26-06-1974,19:30,"Parkstadion, Gelsenkirchen",1974
258,Brazil,East Germany,1–0,26-06-1974,19:30,"Niedersachsenstadion, Hanover",1974
259,Argentina,Brazil,1–2,30-06-1974,16:00,"Niedersachsenstadion, Hanover",1974
260,East Germany,Netherlands,0–2,30-06-1974,16:00,"Parkstadion, Gelsenkirchen",1974
261,Argentina,East Germany,1–1,3-07-1974,19:30,"Parkstadion, Gelsenkirchen",1974
262,Netherlands,Brazil,2–0,3-07-1974,19:30,"Westfalenstadion, Dortmund",1974
263,Yugoslavia,West Germany,0–2,26-06-1974,16:00,"Rheinstadion, Düsseldorf",1974
264,Sweden,Poland,0–1,26-06-1974,19:30,"Neckarstadion, Stuttgart",1974
265,Poland,Yugoslavia,2–1,30-06-1974,16:00,"Waldstadion, Frankfurt",1974
266,West Germany,Sweden,4–2,30-06-1974,19:30,"Rheinstadion, Düsseldorf",1974
267,Poland,West Germany,0–1,3-07-1974,16:35,"Waldstadion, Frankfurt",1974
268,Sweden,Yugoslavia,2–1,3-07-1974,19:30,"Rheinstadion, Düsseldorf",1974
269,Brazil,Poland,0–1,6-07-1974,16:00,"Olympiastadion, Munich",1974
270,Netherlands,West Germany,1–2,7-07-1974,16:00,"Olympiastadion, Munich",1974
271,Italy,France,2–1,2-06-1978,13:45,"World Cup Stadium, Mar del Plata",1978
272,Argentina,Hungary,2–1,2-06-1978,19:15,"River Plate Stadium, Buenos Aires",1978
273,Italy,Hungary,3–1,6-06-1978,13:45,"World Cup Stadium, Mar del Plata",1978
274,Argentina,France,2–1,6-06-1978,19:15,"River Plate Stadium, Buenos Aires",1978
275,France,Hungary,3–1,10-06-1978,14:30,"World Cup Stadium, Mar del Plata",1978
276,Argentina,Italy,0–1,10-06-1978,19:15,"River Plate Stadium, Buenos Aires",1978
277,West Germany,Poland,0–0,1-06-1978,15:00,"River Plate Stadium, Buenos Aires",1978
278,Tunisia,Mexico,3–1,2-06-1978,16:45,"Rosario Central Stadium, Rosario",1978
279,West Germany,Mexico,6–0,6-06-1978,16:45,"Olympic Stadium, Córdoba",1978
280,Poland,Tunisia,1–0,6-06-1978,16:45,"Rosario Central Stadium, Rosario",1978
281,West Germany,Tunisia,0–0,10-06-1978,16:45,"Olympic Stadium, Córdoba",1978
282,Poland,Mexico,3–1,10-06-1978,16:45,"Rosario Central Stadium, Rosario",1978
283,Austria,Spain,2–1,3-06-1978,13:45,"José Amalfitani Stadium, Buenos Aires",1978
284,Brazil,Sweden,1–1,3-06-1978,13:45,"World Cup Stadium, Mar del Plata",1978
285,Austria,Sweden,1–0,7-06-1978,13:45,"José Amalfitani Stadium, Buenos Aires",1978
286,Brazil,Spain,0–0,7-06-1978,13:45,"World Cup Stadium, Mar del Plata",1978
287,Spain,Sweden,1–0,11-06-1978,13:45,"José Amalfitani Stadium, Buenos Aires",1978
288,Brazil,Austria,1–0,11-06-1978,13:45,"World Cup Stadium, Mar del Plata",1978
289,Peru,Scotland,3–1,3-06-1978,16:45,"Olympic Stadium, Córdoba",1978
290,Netherlands,Iran,3–0,3-06-1978,16:45,"Mendoza City Stadium, Mendoza",1978
291,Scotland,Iran,1–1,7-06-1978,16:45,"Olympic Stadium, Córdoba",1978
292,Netherlands,Peru,0–0,7-06-1978,16:45,"Mendoza City Stadium, Mendoza",1978
293,Peru,Iran,4–1,11-06-1978,16:45,"Olympic Stadium, Córdoba",1978
294,Scotland,Netherlands,3–2,11-06-1978,16:45,"Mendoza City Stadium, Mendoza",1978
295,Austria,Netherlands,1–5,14-06-1978,13:45,"Olympic Stadium, Córdoba",1978
